Tm,Week,Percent Capacity,Year,Away Team Wins,Home Team Wins,Time,International
DAL,13,1.09465,2013,4,6,0,0
DET,13,0.9989846153846154,2013,0,6,0,0
HOU,13,0.9937551924674606,2013,8,2,0,0
IND,13,0.9776417910447761,2013,5,7,0,0
KC,13,1.008492985762144,2013,9,9,0,0
LAC,13,0.8720964838933689,2013,7,5,0,0
MIN,13,1.0002027416914896,2013,6,-1,0,0
NYJ,13,0.9328121212121212,2013,5,5,0,0
PHI,13,0.9935053738720616,2013,7,6,0,0
SEA,13,0.9911159420289855,2013,9,10,0,0
SF,13,1.0,2013,5,7,0,0
WAS,13,0.8849411764705882,2013,4,3,0,0
ARI,14,0.9565141955835962,2013,5,7,0,0
BAL,14,0.9987747859396124,2013,0,6,0,0
CHI,14,1.0118536585365854,2013,7,6,0,0
CIN,14,0.9540868503396169,2013,8,8,0,0
DEN,14,1.0056354679802955,2013,5,10,0,0
GB,14,0.9522230817401555,2013,3,-1,0,0
JAX,14,0.8905628114036381,2013,2,3,0,0
LAC,14,0.9230594804495401,2013,5,5,0,0
NE,14,1.0288347872929418,2013,4,9,0,0
NO,14,0.9983744945907551,2013,9,9,0,0
NYJ,14,0.9328121212121212,2013,4,5,0,0
PHI,14,0.9935053738720616,2013,7,7,0,0
PIT,14,0.7673830409356726,2013,6,5,0,0
SF,14,1.0,2013,11,8,0,0
TB,14,0.8551821780461729,2013,4,3,0,0
WAS,14,0.6617294117647059,2013,9,3,0,0
ATL,15,0.9837283090919301,2013,3,3,0,0
CAR,15,0.978415056032698,2013,6,9,0,0
CLE,15,1.0605359552727973,2013,7,4,0,0
DAL,15,1.138175,2013,-1,7,0,0
DEN,15,1.004886699507389,2013,6,11,0,0
DET,15,0.9960307692307693,2013,7,7,0,0
IND,15,0.9771641791044776,2013,2,8,0,0
JAX,15,0.885713022199947,2013,4,4,0,0
LAR,15,0.8854848484848484,2013,10,5,0,0
LV,15,0.8842963412241112,2013,10,4,0,0
MIA,15,1.1000673544989743,2013,10,7,0,0
MIN,15,0.9994697524991812,2013,8,-1,0,0
NYG,15,0.9659515151515151,2013,11,5,0,0
PIT,15,0.6706578947368421,2013,9,5,0,0
TB,15,0.9266664740385449,2013,9,4,0,0
TEN,15,1.0,2013,8,5,0,0
BAL,16,1.0059852410995944,2013,10,8,0,0
BUF,16,0.7583649871522735,2013,8,5,0,0
CAR,16,0.9860819853874203,2013,10,10,0,0
CIN,16,0.9395558269098679,2013,0,9,0,0
DET,16,0.9845538461538461,2013,5,7,0,0
GB,16,0.9577362753404305,2013,6,0,0,0
HOU,16,0.9936444198283024,2013,11,2,0,0
JAX,16,0.8927002564934108,2013,5,4,0,0
KC,16,0.9866520100502513,2013,9,11,0,0
LAC,16,0.9307549496180609,2013,4,7,0,0
LAR,16,0.824590909090909,2013,4,6,0,0
NYJ,16,0.9328121212121212,2013,4,6,0,0
PHI,16,0.9935053738720616,2013,8,8,0,0
SEA,16,0.9893623188405797,2013,9,12,0,0
SF,16,1.0,2013,4,10,0,0
WAS,16,0.9460117647058823,2013,7,3,0,0
ARI,17,1.0026813880126182,2013,11,10,0,0
ATL,17,0.9887544224181501,2013,11,4,0,0
CHI,17,1.0196422764227642,2013,-1,8,0,0
CIN,17,0.9525452186522171,2013,8,10,0,0
DAL,17,1.139575,2013,9,8,0,0
IND,17,0.9851940298507462,2013,4,10,0,0
LAC,17,0.9406612718073724,2013,11,8,0,0
LV,17,0.9187077439035267,2013,12,4,0,0
MIA,17,1.0760799681596913,2013,7,8,0,0
MIN,17,1.0002027416914896,2013,7,-1,0,0
NE,17,1.0288347872929418,2013,6,11,0,0
NO,17,0.9992077368593596,2013,4,10,0,0
NYG,17,0.9718424242424243,2013,3,6,0,0
PIT,17,0.8239912280701754,2013,4,7,0,0
SEA,17,0.9893333333333333,2013,7,12,0,0
TEN,17,1.0,2013,2,6,0,0
ARI,1,0.9667507886435331,2014,0,0,0,0
ATL,1,0.992671421351154,2014,0,0,0,0
BAL,1,0.9988311176205498,2014,0,0,0,0
CHI,1,1.0150406504065042,2014,0,0,0,0
DAL,1,1.139675,2014,0,0,0,0
DEN,1,1.0106929392446633,2014,0,0,0,0
DET,1,0.9907846153846154,2014,0,0,0,0
HOU,1,0.9937690390473553,2014,0,0,0,0
KC,1,0.9627434045226131,2014,0,0,0,0
LAR,1,0.8472575757575758,2014,0,0,0,0
MIA,1,1.0811927869454734,2014,0,0,0,0
NYJ,1,0.9473939393939393,2014,0,0,0,0
PHI,1,1.0,2014,0,0,0,0
PIT,1,0.9444152046783626,2014,0,0,0,0
SEA,1,0.9916521739130435,2014,0,0,0,0
TB,1,0.9021063885116588,2014,0,0,0,0
BAL,2,1.0024363452005407,2014,1,0,0,0
BUF,2,0.9769020221204334,2014,1,1,0,0
